Degree,C,Training Data Validation,Testing Data Validation
3,1,0.588477366255144,0.5473251028806584
5,1,0.588477366255144,0.5473251028806584
7,1,0.588477366255144,0.5473251028806584
9,1,0.588477366255144,0.5473251028806584
3,10,0.588477366255144,0.5473251028806584
5,10,0.588477366255144,0.5473251028806584
7,10,0.588477366255144,0.5473251028806584
9,10,0.588477366255144,0.5473251028806584
3,100,0.588477366255144,0.5473251028806584
5,100,0.588477366255144,0.5473251028806584
7,100,0.588477366255144,0.5473251028806584
9,100,0.588477366255144,0.5473251028806584
