Degree,C,Training Data Validation,Testing Data Validation
3,1,0.5925925925925926,0.5473251028806584
5,1,0.6008230452674898,0.5349794238683128
7,1,0.6255144032921811,0.5185185185185185
9,1,0.6584362139917695,0.5061728395061729
3,10,0.6172839506172839,0.5267489711934157
5,10,0.6502057613168725,0.49794238683127573
7,10,0.6872427983539094,0.5020576131687243
9,10,0.7160493827160493,0.49794238683127573
3,100,0.654320987654321,0.5061728395061729
5,100,0.7119341563786008,0.49794238683127573
7,100,0.7489711934156379,0.5020576131687243
9,100,0.7777777777777778,0.48559670781893005
3,1000,0.7160493827160493,0.5061728395061729
5,1000,0.7530864197530864,0.5020576131687243
7,1000,0.7860082304526749,0.4732510288065844
9,1000,0.823045267489712,0.48559670781893005
