Degree,C,Training Data Validation,Testing Data Validation
3,1,0.588477366255144,0.5473251028806584
5,1,0.588477366255144,0.5473251028806584
7,1,0.588477366255144,0.5473251028806584
9,1,0.588477366255144,0.5473251028806584
3,10,0.5967078189300411,0.5432098765432098
5,10,0.5967078189300411,0.5432098765432098
7,10,0.5967078189300411,0.5432098765432098
9,10,0.5967078189300411,0.5432098765432098
3,100,0.6419753086419753,0.5185185185185185
5,100,0.6419753086419753,0.5185185185185185
7,100,0.6419753086419753,0.5185185185185185
9,100,0.6419753086419753,0.5185185185185185
3,1000,0.6872427983539094,0.5020576131687243
5,1000,0.6872427983539094,0.5020576131687243
7,1000,0.6872427983539094,0.5020576131687243
9,1000,0.6872427983539094,0.5020576131687243
