Degree,C,Training Data Validation,Testing Data Validation
3,1,0.6172839506172839,0.5432098765432098
5,1,0.6172839506172839,0.5432098765432098
7,1,0.6172839506172839,0.5432098765432098
9,1,0.6172839506172839,0.5432098765432098
3,10,0.6460905349794238,0.5349794238683128
5,10,0.6460905349794238,0.5349794238683128
7,10,0.6460905349794238,0.5349794238683128
9,10,0.6460905349794238,0.5349794238683128
3,100,0.6584362139917695,0.5432098765432098
5,100,0.6584362139917695,0.5432098765432098
7,100,0.6584362139917695,0.5432098765432098
9,100,0.6584362139917695,0.5432098765432098
