Degree,C,Training Data Validation,Testing Data Validation
3,1,0.588477366255144,0.5473251028806584
5,1,0.588477366255144,0.5473251028806584
7,1,0.588477366255144,0.5473251028806584
9,1,0.588477366255144,0.5473251028806584
3,10,0.5679012345679012,0.5267489711934157
5,10,0.5679012345679012,0.5267489711934157
7,10,0.5679012345679012,0.5267489711934157
9,10,0.5679012345679012,0.5267489711934157
3,100,0.48559670781893005,0.4567901234567901
5,100,0.48559670781893005,0.4567901234567901
7,100,0.48559670781893005,0.4567901234567901
9,100,0.48559670781893005,0.4567901234567901
3,1000,0.5102880658436214,0.45267489711934156
5,1000,0.5102880658436214,0.45267489711934156
7,1000,0.5102880658436214,0.45267489711934156
9,1000,0.5102880658436214,0.45267489711934156
