Degree,C,Training Data Validation,Testing Data Validation
3,1,0.5596707818930041,0.522633744855967
5,1,0.5596707818930041,0.522633744855967
7,1,0.5596707818930041,0.522633744855967
9,1,0.5596707818930041,0.522633744855967
3,10,0.4691358024691358,0.43621399176954734
5,10,0.4691358024691358,0.43621399176954734
7,10,0.4691358024691358,0.43621399176954734
9,10,0.4691358024691358,0.43621399176954734
3,100,0.48559670781893005,0.4403292181069959
5,100,0.48559670781893005,0.4403292181069959
7,100,0.48559670781893005,0.4403292181069959
9,100,0.48559670781893005,0.4403292181069959
