Degree,C,Training Data Validation,Testing Data Validation
3,1,0.8698630136986302,0.7278911564625851
5,1,0.8698630136986302,0.7278911564625851
7,1,0.8698630136986302,0.7278911564625851
9,1,0.8698630136986302,0.7278911564625851
3,10,0.8904109589041096,0.6938775510204082
5,10,0.8904109589041096,0.6938775510204082
7,10,0.8904109589041096,0.6938775510204082
9,10,0.8904109589041096,0.6938775510204082
3,100,0.8835616438356164,0.6598639455782312
5,100,0.8835616438356164,0.6598639455782312
7,100,0.8835616438356164,0.6598639455782312
9,100,0.8835616438356164,0.6598639455782312
3,1000,0.8698630136986302,0.673469387755102
5,1000,0.8698630136986302,0.673469387755102
7,1000,0.8698630136986302,0.673469387755102
9,1000,0.8698630136986302,0.673469387755102
