Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7534246575342466,0.6938775510204082
5,1,0.7602739726027398,0.6938775510204082
7,1,0.7602739726027398,0.6802721088435374
9,1,0.7945205479452054,0.673469387755102
3,10,0.7602739726027398,0.6938775510204082
5,10,0.7876712328767124,0.6802721088435374
7,10,0.8082191780821918,0.6598639455782312
9,10,0.8082191780821918,0.6666666666666666
3,100,0.7945205479452054,0.6870748299319728
5,100,0.821917808219178,0.6666666666666666
7,100,0.8287671232876712,0.6666666666666666
9,100,0.8767123287671232,0.673469387755102
3,1000,0.8356164383561644,0.6870748299319728
5,1000,0.9178082191780822,0.673469387755102
7,1000,0.958904109589041,0.6598639455782312
9,1000,0.952054794520548,0.6326530612244898
