Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7328767123287672,0.7006802721088435
5,1,0.7328767123287672,0.7006802721088435
7,1,0.7328767123287672,0.7006802721088435
9,1,0.7328767123287672,0.7006802721088435
3,10,0.6506849315068494,0.673469387755102
5,10,0.6506849315068494,0.673469387755102
7,10,0.6506849315068494,0.673469387755102
9,10,0.6506849315068494,0.673469387755102
3,100,0.6438356164383562,0.6598639455782312
5,100,0.6438356164383562,0.6598639455782312
7,100,0.6438356164383562,0.6598639455782312
9,100,0.6438356164383562,0.6598639455782312
