Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7279335410176532,0.7206645898234684
5,1,0.7279335410176532,0.7206645898234684
7,1,0.7279335410176532,0.7206645898234684
9,1,0.7279335410176532,0.7206645898234684
3,10,0.7320872274143302,0.7165109034267912
5,10,0.7320872274143302,0.7165109034267912
7,10,0.7320872274143302,0.7165109034267912
9,10,0.7320872274143302,0.7165109034267912
3,100,0.7320872274143302,0.7185877466251298
5,100,0.7320872274143302,0.7185877466251298
7,100,0.7320872274143302,0.7185877466251298
9,100,0.7320872274143302,0.7185877466251298
3,1000,0.731048805815161,0.7175493250259606
5,1000,0.731048805815161,0.7175493250259606
7,1000,0.731048805815161,0.7175493250259606
9,1000,0.731048805815161,0.7175493250259606
