Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7061266874350987,0.7030114226375909
5,1,0.7061266874350987,0.7030114226375909
7,1,0.7061266874350987,0.7030114226375909
9,1,0.7061266874350987,0.7030114226375909
3,10,0.7061266874350987,0.7030114226375909
5,10,0.7061266874350987,0.7030114226375909
7,10,0.7061266874350987,0.7030114226375909
9,10,0.7061266874350987,0.7030114226375909
3,100,0.7061266874350987,0.7030114226375909
5,100,0.7061266874350987,0.7030114226375909
7,100,0.7061266874350987,0.7030114226375909
9,100,0.7061266874350987,0.7030114226375909
