Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7487019730010385,0.7518172377985463
5,1,0.7487019730010385,0.726895119418484
7,1,0.7507788161993769,0.7258566978193146
9,1,0.7507788161993769,0.7248182762201454
3,10,0.7653167185877466,0.7476635514018691
5,10,0.7663551401869159,0.7372793354101765
7,10,0.7507788161993769,0.7258566978193146
9,10,0.7507788161993769,0.7248182762201454
3,100,0.7653167185877466,0.7487019730010385
5,100,0.7684319833852544,0.7393561786085151
7,100,0.7684319833852544,0.7393561786085151
9,100,0.7632398753894081,0.7341640706126688
3,1000,0.7653167185877466,0.7487019730010385
5,1000,0.7684319833852544,0.7383177570093458
7,1000,0.7684319833852544,0.7383177570093458
9,1000,0.7684319833852544,0.7383177570093458
