Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7144340602284528,0.735202492211838
5,1,0.7102803738317757,0.7206645898234684
7,1,0.711318795430945,0.7206645898234684
9,1,0.7102803738317757,0.726895119418484
3,10,0.7227414330218068,0.7383177570093458
5,10,0.719626168224299,0.719626168224299
7,10,0.7206645898234684,0.719626168224299
9,10,0.719626168224299,0.7300103842159917
3,100,0.7227414330218068,0.7383177570093458
5,100,0.7185877466251298,0.719626168224299
7,100,0.7206645898234684,0.719626168224299
9,100,0.7237798546209762,0.7331256490134995
