Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7528556593977155,0.7580477673935618
5,1,0.7528556593977155,0.7580477673935618
7,1,0.7528556593977155,0.7580477673935618
9,1,0.7528556593977155,0.7580477673935618
3,10,0.7673935617860852,0.754932502596054
5,10,0.7673935617860852,0.754932502596054
7,10,0.7673935617860852,0.754932502596054
9,10,0.7673935617860852,0.754932502596054
3,100,0.7684319833852544,0.7424714434060229
5,100,0.7684319833852544,0.7424714434060229
7,100,0.7684319833852544,0.7424714434060229
9,100,0.7684319833852544,0.7424714434060229
3,1000,0.7684319833852544,0.7424714434060229
5,1000,0.7684319833852544,0.7424714434060229
7,1000,0.7684319833852544,0.7424714434060229
9,1000,0.7684319833852544,0.7424714434060229
