Degree,C,Training Data Validation,Testing Data Validation
3,1,0.731048805815161,0.7414330218068536
5,1,0.731048805815161,0.7414330218068536
7,1,0.731048805815161,0.7414330218068536
9,1,0.731048805815161,0.7414330218068536
3,10,0.7372793354101765,0.7403946002076843
5,10,0.7372793354101765,0.7403946002076843
7,10,0.7372793354101765,0.7403946002076843
9,10,0.7372793354101765,0.7403946002076843
3,100,0.7372793354101765,0.735202492211838
5,100,0.7372793354101765,0.735202492211838
7,100,0.7372793354101765,0.735202492211838
9,100,0.7372793354101765,0.735202492211838
