Degree,C,Training Data Validation,Testing Data Validation
3,1,0.6542056074766355,0.6697819314641744
5,1,0.6542056074766355,0.6697819314641744
7,1,0.6542056074766355,0.6697819314641744
9,1,0.6542056074766355,0.6697819314641744
3,10,0.6780893042575286,0.6863966770508827
5,10,0.6780893042575286,0.6863966770508827
7,10,0.6780893042575286,0.6863966770508827
9,10,0.6780893042575286,0.6863966770508827
3,100,0.6780893042575286,0.6874350986500519
5,100,0.6780893042575286,0.6874350986500519
7,100,0.6780893042575286,0.6874350986500519
9,100,0.6780893042575286,0.6874350986500519
3,1000,0.6780893042575286,0.6884735202492211
5,1000,0.6780893042575286,0.6884735202492211
7,1000,0.6780893042575286,0.6884735202492211
9,1000,0.6780893042575286,0.6884735202492211
