Degree,C,Training Data Validation,Testing Data Validation
3,1,0.7030114226375909,0.7258566978193146
5,1,0.7030114226375909,0.7258566978193146
7,1,0.7030114226375909,0.7258566978193146
9,1,0.7030114226375909,0.7258566978193146
3,10,0.7082035306334372,0.7372793354101765
5,10,0.7082035306334372,0.7372793354101765
7,10,0.7082035306334372,0.7372793354101765
9,10,0.7082035306334372,0.7372793354101765
3,100,0.7092419522326064,0.7372793354101765
5,100,0.7092419522326064,0.7372793354101765
7,100,0.7092419522326064,0.7372793354101765
9,100,0.7092419522326064,0.7372793354101765
